risk_factor,severity,suggestion
New Customer Risk - Mobile Channel,High,Provide onboarding assistance and welcome package
Flagged: Price Sensitive Customer,Medium,Offer personalized discount and flexible plan
Frequent Complaints - Region C,High,Assign dedicated support manager
Overdue Balance - Region C,Critical,Assign collections specialist with flexible settlement
Notice: Competitor Feature Inquiry,High,Highlight product roadmap and unique differentiators
Low Communication Response Rate - SMB Segment,Medium,Increase outreach frequency through multiple channels
Refund Request Pending - Web Channel,High,Expedite refund processing and follow up
Escalated Complaint - Oct,Critical,Senior management intervention and resolution
Flagged: Long Hold Time Complaint,High,Priority callback and hold time compensation
Service Plan Mismatch - Region C,Medium,Recommend better-fit service plan with comparison
Alert: Hidden Fee Complaint,Critical,Waive fees and provide transparent billing breakdown
Alert: Poor Service Experience,Medium,Schedule proactive outreach and service review
Service Usage Decline - Region B,Medium,Recommend suitable and cost-effective service plan
Detected: Missed Check-in Calls,Medium,Reschedule and send calendar invite proactively
Trend: Low Lifetime Value Trend,High,Intervention to increase engagement and spend
Mobile App Crash Reported - Q2,High,Escalate to mobile dev team and offer workaround
Issue: Opted Out of Marketing,Medium,Respect preference and focus on transactional touchpoints
Loyalty Program Inactive - New Customer,Critical,Re-engage with loyalty program highlights
Risk: Low Phone Usage,Low,Recommend optimized phone plan
Multi-Account Risk - Dec,Medium,Offer consolidation benefits and simplified billing
Dashboard Not Accessed - Oct,Medium,Send tutorial and highlight key insights available
Signal: Premium Customer Risk,Critical,Assign retention specialist with custom offer
Post-Complaint Silence - Q3,Medium,Proactive follow-up to rebuild trust
Roaming Complaint - Mar,Medium,Offer international plan or roaming discount
Low Account Activity - High Value,Medium,Send targeted engagement campaign with offers
Low Internet Usage - Apr,Low,Recommend value-added internet services
Customer Unreachable - Feb,Medium,Attempt all available contact channels
No Recent Login Activity - Region A,Medium,Send re-engagement email with tips
Issue: Feature Usage Drop,Medium,Re-educate customer on feature benefits
Multiple Escalations - Nov,Critical,Dedicated resolution team and senior manager call
Alert: Third-Party Review Complaint,High,Address review and reach out for resolution
Issue: Roaming Complaint,Critical,Offer international plan or roaming discount
Mobile App Crash Reported,High,Escalate to mobile dev team and offer workaround
Setup Incomplete - High Value,Medium,Send guided setup checklist with support contact
Social Media Complaint - SMB Segment,High,Respond publicly and follow up privately
Flagged: After-Hours Issue Unresolved,High,Provide 24/7 support access or callback guarantee
Outage Impact,Critical,Provide service credit and incident summary
Inactive Customer - Aug,Critical,Offer reactivation incentives and special return deal
Customer Feels Undervalued - Premium Segment,Low,Personalized appreciation package and outreach
Inactive Customer - May,Critical,Offer reactivation incentives and special return deal
Detected: Very Low Engagement,High,Offer loyalty incentives and exclusive content
Warning: Mobile App Crash Reported,High,Escalate to mobile dev team and offer workaround
Training Not Attended - Web Channel,Medium,Reschedule training with calendar invite
Trend: Social Media Complaint,High,Respond publicly and follow up privately
Notice: New Customer Risk,High,Provide onboarding assistance and welcome package
Setup Incomplete - Mobile Channel,Medium,Send guided setup checklist with support contact
Signal: Large Account Size Risk,Critical,Dedicated team assigned for retention
Customer Not Using Key Features - Region C,Medium,Provide guided walkthrough and success tips
Pattern: Extremely High Monthly Charges,Critical,Executive review and customized pricing plan
Opted Out of Marketing - Jun,Medium,Respect preference and focus on transactional touchpoints
Multiple Negative Reviews - High Value,Critical,Dedicated account recovery team assignment
Low Account Activity - Jul,Medium,Send targeted engagement campaign with offers
Inactive Customer - Dec,Critical,Offer reactivation incentives and special return deal
Low Tenure - Sep,Medium,Provide personalized onboarding session
Low Survey Score - Sep,Medium,Request qualitative feedback and address concerns
Very Low Engagement - Enterprise Segment,High,Offer loyalty incentives and exclusive content
Very Low Tenure - Low Value,Critical,Assign dedicated customer success manager
Issue: Referral Churned,High,Address referred customer experience and re-engage
Risk: Price Increase Complaint,High,Offer loyalty discount to offset price increase
Flagged: Device Upgrade Pending,Low,Offer early device upgrade with loyalty discount
Warning: Missed Check-in Calls,Medium,Reschedule and send calendar invite proactively
Post-Complaint Silence - Jun,High,Proactive follow-up to rebuild trust
Churn Prediction Above 60% - May,Medium,Send personalized retention offer
Medium Churn Risk - Premium Segment,Medium,Offer limited-time discount
Flagged: Mobile App Crash Reported,High,Escalate to mobile dev team and offer workaround
Warning: Very Low Customer Satisfaction,Medium,Immediate retention intervention and apology offer
Loyalty Points Expiring - SMB Segment,Low,Notify customer and encourage redemption
Repeated Complaints Same Issue - SMB Segment,Critical,Senior technical team intervention
Declining Satisfaction Trend,High,Initiate proactive retention conversation
High Revenue Customer At Risk - Jan,Critical,Priority retention package with executive involvement
Account Downgrade Risk - Nov,Medium,Offer upgrade incentives and added value demonstration
Risk: Premium Customer Risk,High,Assign retention specialist with custom offer
Pattern: Feature Usage Drop,Low,Re-educate customer on feature benefits
Low Streaming Usage - Oct,Low,Promote entertainment bundle upgrade
Warning: Technology Adoption Gap,Low,Provide digital literacy support and tutorials
Very Low Tenure - SMB Segment,Critical,Assign dedicated customer success manager
Multiple Billing Errors - Mar,Critical,Senior billing review and account credit
Training Not Attended - Enterprise Segment,Medium,Reschedule training with calendar invite
High Value Customer - Jun,High,Assign dedicated account manager proactively
Low Communication Response Rate - Oct,Medium,Increase outreach frequency through multiple channels
Detected: Low Internet Usage,Low,Recommend value-added internet services
No Response to Outreach - Consumer Segment,Medium,Try alternate contact method with personalized message
Slow Onboarding Progress - Region A,High,Assign onboarding specialist for hands-on support
Low Self-Service Usage - Nov,Low,Provide self-service portal tutorials
No Contract - Oct,High,Promote long-term plan benefits
